timestamp_us,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z
1975169892,-5500,4782,-1304,-5,-287,-45,-17547,0,-15537,0,8160,8192,5206,388,-5730,-98,-193,30
1975219892,-5676,3370,-1482,155,-16,287,-15544,0,-15537,0,8160,8192,4906,376,-5948,-100,54,31
1975269892,-6130,5122,-1216,144,-170,57,-15542,0,-15537,0,8160,8192,5544,288,-6098,-105,40,35
1975319892,-6190,5060,-1398,86,-56,50,0,0,-7,-1,-16537,0,5740,310,-5954,-102,52,32
1975369892,-6218,5550,-1196,125,-163,-18,8160,8192,0,0,645,8192,5812,250,-6086,-105,16,31
1975419892,-6006,5362,-1336,97,-84,72,-16531,0,-15537,0,8160,8192,5720,232,-6042,-104,61,34
1975469892,-6628,5808,-1312,88,-157,17,8160,8192,-31756,30142,645,8192,6080,224,-6120,-103,-13,23
1975519892,-5774,5414,-1298,75,-208,-70,-16525,0,-15537,0,8160,8192,6156,138,-6012,-114,-49,20
1975569892,-6418,5796,-1442,103,-146,46,-16523,0,-15537,0,8160,8192,5930,328,-6020,-107,-7,27
1975619892,-6334,5916,-1296,125,-183,19,-16522,0,-15537,0,8160,8192,5956,244,-6086,-107,2,23
1975669892,-6206,5570,-1394,88,-135,19,-17519,0,-15537,0,8160,8192,5850,192,-6026,-107,18,27
1975719892,-6324,5894,-1178,106,-114,33,0,0,-7,-1,-16517,0,5854,94,-6014,-94,62,32
1975769892,-6418,5866,-1198,56,-184,-74,-16514,0,-15537,0,8160,8192,6004,268,-6098,-107,-24,25
1975819892,-6136,5268,-1324,83,-111,41,0,0,-7,-1,-17511,0,5702,332,-5966,-104,19,26
1975869892,-6050,5140,-1122,118,-162,-35,-16509,0,-15537,0,8160,8192,5560,146,-5996,-110,23,25
1975919892,-6534,5492,-1206,64,-120,-7,-16508,0,-15537,0,8160,8192,6206,264,-5892,-103,6,30
1975969892,-6418,5806,-1290,115,-108,103,-16507,0,-15537,0,8160,8192,5814,264,-6008,-103,40,25
1976019892,-6406,5264,-1252,75,-142,-76,-16505,0,-15537,0,8160,8192,5766,106,-6070,-104,22,28
1976069892,-7170,4654,56,192,-136,784,-16502,0,-15537,0,8160,8192,5588,-2238,-4786,-98,-79,48
1976119892,-6616,4596,-1484,-84,-259,-799,-16500,0,-15537,0,8160,8192,5868,574,-5396,-123,-113,12
1976169892,-5794,4936,-986,512,-179,336,-16499,0,-15537,0,8160,8192,5370,618,-5996,-93,119,45
1976219892,-6660,6282,-816,64,-110,169,-16497,0,-15537,0,8160,8192,6044,284,-6164,-106,30,27
1976269892,-6374,5760,-1276,53,-50,95,0,0,-7,-1,-16494,0,5900,232,-5940,-107,54,30
1976319892,-6126,5372,-1314,43,-101,-89,-16492,0,-15537,0,8160,8192,5624,272,-6120,-105,59,32
1976369892,-6036,5138,-1226,54,-113,43,-16490,0,-15537,0,8160,8192,5338,-240,-6080,-107,16,29
1976419892,-6338,4988,-1294,-12,-8,87,-17488,0,-15537,0,8160,8192,6020,556,-5828,-103,39,30
1976469892,-6130,5654,-1260,177,-228,-55,-18486,0,-15537,0,8160,8192,5898,250,-6052,-105,22,30
1976519892,-6354,5282,-1192,57,-33,140,-16484,0,-15537,0,8160,8192,5770,300,-6142,-107,42,29
1976569892,-6148,5580,-1272,100,-128,45,-16482,0,-15537,0,8160,8192,5810,294,-6010,-106,35,29
1976619892,-6348,5428,-1212,117,-119,84,-18479,0,-15537,0,8160,8192,5798,216,-6038,-106,33,30
1976669892,-6208,5536,-1188,96,-120,6,0,0,-7,-1,-16477,0,5760,184,-6100,-106,34,29
1976719892,-6332,5370,-1190,77,-72,129,-16476,0,-15537,0,8160,8192,5822,228,-5986,-107,35,31
1976769892,-6282,5380,-1292,106,-138,3,-17474,0,-15537,0,8160,8192,5808,210,-5956,-108,33,31
1976819892,-6340,5454,-1170,91,-92,62,-16472,0,-15537,0,8160,8192,5790,140,-6120,-104,34,28
1976869892,-6334,5426,-1232,96,-102,62,0,0,-7,-1,-16470,0,5852,182,-6060,-106,39,28
