timestamp_us,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z
3322619892,5904,-4592,-4270,137,-543,-168,-15815,0,-15537,0,8160,8192,186,-1610,8078,-174,-549,444
3322669892,5826,-4816,-4318,245,-405,-148,0,0,-7,-1,-16813,0,524,-1778,8166,-112,-182,497
3322719892,5938,-4864,-4168,314,-210,-120,-17808,0,-15537,0,8160,8192,168,-1712,8022,-117,-131,453
3322769892,5990,-4542,-4298,262,-283,-205,-15805,0,-15537,0,8160,8192,750,-1546,8040,-27,-411,315
3322819892,5636,-4638,-3932,433,156,-3,8160,8192,0,0,645,8192,-74,-1656,8190,208,553,444
3322869892,6250,-5076,-4006,373,-22,-369,-15802,0,-15537,0,8160,8192,368,-1624,8216,476,-272,311
3322919892,5958,-4188,-4456,128,-145,-452,-15801,0,-15537,0,8160,8192,1030,-1192,8150,510,24,83
3322969892,6412,-4514,-4174,394,231,-308,8160,8192,0,0,645,8192,348,-1022,7926,447,218,58
3323019892,5944,-4214,-4000,9,-162,-284,-17797,0,-15537,0,8160,8192,836,-982,7588,105,-81,45
3323069892,5802,-4184,-4046,276,224,57,-16795,0,-15537,0,8160,8192,496,-1066,7398,-53,501,65
3323119892,5792,-4184,-3860,218,53,73,8160,8192,1476,-14830,645,8192,290,-1134,7596,-110,249,5
3323169892,6120,-4288,-3886,181,28,139,0,0,-7,-1,-15787,0,508,-1108,7896,-144,214,-21
3323219892,6644,-4548,-4034,169,76,140,-16784,0,-15537,0,8160,8192,142,-1038,8502,-115,416,-33
3323269892,7246,-4420,-4122,252,312,96,-17782,0,-15537,0,8160,8192,374,-544,9402,-113,672,54
3323319892,6714,-4528,-3826,688,1076,87,0,0,-7,-1,-15779,0,-206,-1194,8982,112,1300,152
3323369892,6178,-4402,-3422,519,598,-432,-15776,0,-15537,0,8160,8192,-568,-1304,7886,545,594,196
3323419892,6054,-4312,-3378,93,-45,-739,-15774,0,-15537,0,8160,8192,-240,-822,7048,663,-259,194
3323469892,5706,-3850,-3262,-142,-281,-574,-16772,0,-15537,0,8160,8192,-120,-700,6932,460,-242,114
3323519892,5962,-4018,-3300,-124,-301,-291,-15770,0,-15537,0,8160,8192,-54,-696,7038,175,-377,59
3323569892,6032,-3968,-3238,-36,-232,46,-15768,0,-15537,0,8160,8192,-100,-656,7388,-113,-64,48
3323619892,6478,-3946,-3416,25,-99,230,0,0,-7,-1,-16766,0,-110,-398,7838,-301,119,-50
3323669892,6564,-4018,-3372,272,95,376,-15764,0,-15537,0,8160,8192,-246,-586,8178,-324,327,-64
3323719892,6826,-4162,-3460,137,-82,163,8160,8192,11652,-14821,645,8192,-466,-632,8180,-168,37,49
3323769892,6682,-4132,-3736,6,-484,-71,-15760,0,-15537,0,8160,8192,78,-496,8192,-162,-257,170
3323819892,6282,-3952,-3578,99,-188,15,0,0,-7,-1,-15757,0,-2,-790,8288,-166,37,149
3323869892,6480,-4364,-3598,175,-135,-16,-15756,0,-15537,0,8160,8192,-198,-878,7988,-60,-69,129
3323919892,6336,-4192,-3474,-44,-354,-92,0,0,-7,-1,-15755,0,98,-784,8054,-46,-216,65
3323969892,6436,-4084,-3624,68,-122,76,-15753,0,-15537,0,8160,8192,62,-640,7970,-94,25,-26
3324019892,6386,-4120,-3592,207,-12,172,-17751,0,-15537,0,8160,8192,-132,-724,7856,-145,172,-1
3324069892,6410,-4072,-3602,59,-210,49,-15749,0,-15537,0,8160,8192,-106,-696,7848,-166,-67,42
3324119892,6440,-3984,-3722,44,-355,16,8160,8192,0,0,645,8192,48,-652,7960,-166,-128,116
3324169892,6168,-4098,-3478,90,-361,21,-16744,0,-15537,0,8160,8192,-80,-828,7576,-154,-219,153
3324219892,6192,-4064,-3628,-65,-479,70,8160,8192,-12636,-14814,645,8192,172,-784,7684,-276,-221,84
3324269892,6336,-4130,-3780,64,-319,244,-15740,0,-15537,0,8160,8192,194,-682,7812,-349,-67,20
3324319892,6156,-3944,-3672,50,-204,350,0,0,-7,-1,-15738,0,102,-836,7938,-438,92,-62
3324369892,6402,-4250,-3796,150,-209,360,-16736,0,-15537,0,8160,8192,-148,-972,8038,-385,40,-20
3324419892,6540,-4336,-3904,-33,-396,175,-15734,0,-15537,0,8160,8192,194,-956,8268,-361,-255,9
3324469892,6538,-4398,-3902,43,-296,216,8160,8192,0,0,645,8192,178,-1022,8392,-319,-59,45
3324519892,6396,-4448,-3962,83,-187,156,-15731,0,-15537,0,8160,8192,278,-1178,8396,-237,-9,49
3324569892,6308,-4408,-3920,45,-248,45,0,0,-7,-1,-15730,0,214,-1182,8178,-117,-139,33
3324619892,6120,-4260,-3946,-62,-277,-8,0,0,-7,-1,-16728,0,236,-1138,7974,-78,-140,-3
3324669892,6096,-4226,-4114,-47,-277,24,-15726,0,-15537,0,8160,8192,416,-1124,7992,-126,-138,-8
3324719892,6148,-4582,-3990,4,-220,152,-16723,0,-15537,0,8160,8192,462,-1236,7804,-186,-55,2
3324769892,6116,-4050,-3950,-100,-223,124,0,0,-7,-1,-16720,0,248,-1208,8052,-188,-109,-142
3324819892,6228,-4302,-4176,-72,-253,124,0,0,-7,-1,-15718,0,446,-1050,7782,-163,-237,-111
3324869892,6148,-4042,-4092,-143,-299,127,-15717,0,-15537,0,8160,8192,524,-976,7784,-283,-301,-71
3324919892,6148,-4108,-4246,53,-99,252,0,0,-7,-1,-15715,0,570,-1130,7966,-306,15,10
3324969892,6284,-4276,-4412,23,-206,184,-15712,0,-15537,0,8160,8192,698,-1188,8082,-286,-111,-10
3325019892,6230,-4238,-4188,62,-78,216,0,0,-7,-1,-15709,0,552,-1246,8128,-261,55,-56
3325069892,5978,-4248,-4288,2,-3,160,-15707,0,-15537,0,8160,8192,594,-1402,7930,-187,74,-118
3325119892,6202,-4274,-4282,30,-131,139,8160,8192,-30140,-14800,645,8192,582,-1172,7960,-124,-26,-108
3325169892,6054,-4120,-4374,0,31,195,-15703,0,-15537,0,8160,8192,792,-1156,8004,-177,216,-154
3325219892,6054,-4286,-4244,121,163,289,8160,8192,0,0,645,8192,518,-1202,7818,-196,292,-186
3325269892,5916,-4148,-4192,27,79,267,-15700,0,-15537,0,8160,8192,534,-1294,7866,-211,249,-215
3325319892,6104,-4364,-4228,-21,6,234,-17698,0,-15537,0,8160,8192,612,-1222,7920,-192,222,-256
3325369892,6158,-4392,-4056,4,126,299,-15696,0,-15537,0,8160,8192,348,-1266,8070,-148,418,-278
3325419892,6122,-4444,-4074,-69,102,234,-16694,0,-15537,0,8160,8192,210,-1344,7946,-171,137,-281
3325469892,6008,-4390,-4332,-75,4,181,-15691,0,-15537,0,8160,8192,498,-1358,8078,-132,216,-283
3325519892,6138,-4548,-3994,-27,170,248,-15688,0,-15537,0,8160,8192,8,-1346,7998,-102,358,-287
3325569892,6088,-4476,-4004,-78,70,145,0,0,-7,-1,-15685,0,166,-1388,7998,-81,69,-297
3325619892,6042,-4422,-4092,-104,56,130,-17681,0,-15537,0,8160,8192,168,-1344,7986,-49,240,-272
3325669892,6110,-4636,-4060,-37,63,133,8160,8192,-4428,-14792,645,8192,22,-1420,7962,-68,142,-235
3325719892,5966,-4412,-4000,-109,-75,40,0,0,-7,-1,-15677,0,110,-1328,7946,-20,60,-179
3325769892,6082,-4492,-4128,-28,15,86,-15675,0,-15537,0,8160,8192,20,-1276,8000,-52,168,-118
3325819892,6126,-4560,-4234,17,-55,78,-15673,0,-15537,0,8160,8192,204,-1330,8128,-62,91,-87
3325869892,6330,-4706,-4340,-116,-206,-64,0,0,-7,-1,-16671,0,12,-1526,8622,137,-141,-102
3325919892,6448,-4772,-4728,-364,-431,-466,-15669,0,-15537,0,8160,8192,412,-1508,9016,366,-515,-6
3325969892,-2494,-1088,-4100,602,-1728,232,8160,8192,0,0,645,8192,-480,6300,13946,114,2779,-419
