timestamp_us,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z
2783819892,-5876,5838,-1350,95,-106,63,-15601,0,-15537,0,8160,8192,5850,158,-6038,-107,31,29
2783869892,-5994,5724,-1188,94,-99,49,8160,8192,0,0,645,8192,5770,92,-6030,-106,33,30
2783919892,-5970,5700,-1314,99,-109,61,-15597,0,-15537,0,8160,8192,5764,244,-6004,-107,30,29
2783969892,-5888,5876,-1258,103,-118,65,-15595,0,-15537,0,8160,8192,5790,276,-6056,-105,29,29
2784019892,-5942,5796,-1222,99,-107,46,8160,8192,0,0,645,8192,5766,138,-6090,-106,36,31
2784069892,-6002,5684,-1246,95,-99,57,-15590,0,-15537,0,8160,8192,5758,210,-5994,-105,31,32
2784119892,-5930,5806,-1344,103,-114,66,-15588,0,-15537,0,8160,8192,5796,228,-6002,-108,33,32
2784169892,-5902,5860,-1326,100,-116,57,-15586,0,-15537,0,8160,8192,5830,170,-6022,-105,31,30
2784219892,-5978,5778,-1234,96,-100,46,8160,8192,4004,-23053,645,8192,5786,78,-6038,-104,36,30
2784269892,-5964,5732,-1198,95,-103,68,-15582,0,-15537,0,8160,8192,5778,236,-6014,-107,31,28
2784319892,-5884,5866,-1300,102,-119,67,-17580,0,-15537,0,8160,8192,5816,258,-6006,-105,28,32
2784369892,-5906,5842,-1296,98,-112,48,8160,8192,22932,-23051,645,8192,5844,104,-6052,-106,33,32
2784419892,-5968,5674,-1190,91,-97,54,-15575,0,-15537,0,8160,8192,5758,124,-6034,-108,33,30
2784469892,-5948,5718,-1242,98,-111,70,8160,8192,-8140,-23050,645,8192,5762,228,-5990,-107,31,30
2784519892,-5890,5902,-1330,102,-121,55,-16570,0,-15537,0,8160,8192,5836,182,-6036,-106,33,31
2784569892,-5960,5774,-1284,95,-102,52,0,0,-7,-1,-15568,0,5846,110,-6026,-107,35,31
2784619892,-5962,5734,-1292,96,-99,57,0,0,-7,-1,-16566,0,5762,134,-6058,-106,31,29
2784669892,-5906,5806,-1310,104,-116,69,0,0,-7,-1,-16563,0,5758,244,-6020,-106,33,31
2784719892,-5886,5894,-1270,100,-116,54,0,0,-7,-1,-15561,0,5802,160,-6088,-106,32,32
2784769892,-5994,5740,-1232,91,-100,52,-15559,0,-15537,0,8160,8192,5804,108,-6086,-110,33,29
2784819892,-5964,5732,-1218,100,-103,65,-15557,0,-15537,0,8160,8192,5744,222,-6032,-106,31,29
2784869892,-5890,5842,-1346,101,-119,66,0,0,-7,-1,-15555,0,5810,262,-6012,-107,31,29
2784919892,-5952,5890,-1286,100,-112,51,0,0,-7,-1,-16552,0,5822,146,-6078,-105,35,30
2784969892,-5980,5768,-1250,93,-100,50,8160,8192,0,0,645,8192,5772,134,-6028,-107,35,31
2785019892,-5946,5766,-1292,99,-111,71,-18549,0,-15537,0,8160,8192,5770,254,-5938,-107,30,29
2785069892,-5940,5840,-1270,104,-117,63,-15546,0,-15537,0,8160,8192,5768,182,-5998,-106,30,30
2785119892,-5910,5810,-1360,95,-112,51,-17545,0,-15537,0,8160,8192,5810,140,-6026,-104,33,30
2785169892,-6016,5710,-1262,92,-93,51,-15543,0,-15537,0,8160,8192,5758,128,-6068,-105,34,29
2785219892,-5964,5764,-1306,96,-109,70,8160,8192,20964,-23038,645,8192,5782,236,-6020,-106,30,31
2785269892,-5814,5802,-1324,102,-123,60,8160,8192,5428,-23037,645,8192,5810,226,-5930,-104,32,31
2785319894,-5926,5924,-1216,93,-106,41,-15538,0,-15537,0,8160,8192,5816,72,-6088,-104,33,30
2785369892,-5960,5646,-1230,94,-95,67,-16535,0,-15537,0,8160,8192,5690,174,-6032,-105,33,30
2785419892,-5984,5796,-1278,90,-101,60,-16533,0,-15537,0,8160,8192,5846,200,-6026,-105,31,30
2785469892,-5908,5806,-1340,105,-119,62,8160,8192,0,0,645,8192,5740,244,-5990,-107,33,30
2785519892,-5972,5840,-1268,92,-100,45,-16530,0,-15537,0,8160,8192,5788,116,-6042,-105,32,28
2785569892,-5926,5914,-1334,106,-114,60,-18529,0,-15537,0,8160,8192,6076,94,-5742,-107,39,34
2785619892,-5958,5748,-1120,115,-90,92,-17526,0,-15537,0,8160,8192,5654,276,-6164,-104,28,29
2785669892,-5918,6016,-1430,102,-137,59,0,0,-7,-1,-16524,0,5860,314,-6002,-104,30,29
2785719892,-5924,5826,-1312,99,-111,40,-16522,0,-15537,0,8160,8192,5866,208,-5984,-106,33,33
2785769892,-5960,5760,-1084,88,-82,79,0,0,-7,-1,-16520,0,5676,180,-6118,-104,32,27
2785819892,-5946,5746,-1430,93,-127,54,8160,8192,31140,-23029,645,8192,5874,200,-5956,-108,30,28
2785869892,-5940,5870,-1326,98,-116,50,-18516,0,-15537,0,8160,8192,5872,250,-5964,-107,29,33
2785919892,-5900,5950,-1076,109,-99,49,-16514,0,-15537,0,8160,8192,5718,126,-6176,-105,32,32
2785969892,-6022,5682,-1282,94,-101,67,0,0,-7,-1,-16511,0,5844,178,-5980,-104,35,29
2786019892,-5902,5786,-1278,102,-125,66,0,0,-7,-1,-16509,0,5758,282,-6030,-106,25,30
2786069892,-5904,5866,-1160,107,-106,57,-16507,0,-15537,0,8160,8192,5756,198,-6080,-109,33,30
2786119892,-5954,5776,-1370,88,-103,59,-17504,0,-15537,0,8160,8192,5840,104,-6064,-102,32,29
2786169892,-5950,5714,-1250,97,-115,40,-16501,0,-15537,0,8160,8192,5798,168,-5974,-106,34,32
2786219892,-5968,5744,-1236,108,-105,71,0,0,-7,-1,-17499,0,5760,224,-6076,-106,29,33
2786269892,-5882,5884,-1270,105,-114,73,8160,8192,22388,-23022,645,8192,5780,232,-6056,-105,33,29
2786319892,-5926,5766,-1360,94,-118,50,8160,8192,6852,-23021,645,8192,5838,156,-5920,-109,35,31
2786369892,-5960,5750,-1228,92,-100,50,0,0,-7,-1,-16495,0,5722,134,-6064,-108,33,29
2786419892,-5954,5762,-1220,97,-103,67,8160,8192,-24220,-23020,645,8192,5736,182,-6052,-108,34,28
2786469892,-5934,5800,-1364,99,-120,62,-18490,0,-15537,0,8160,8192,5872,230,-5972,-107,29,30
2786519892,-5884,5886,-1224,108,-120,48,-16489,0,-15537,0,8160,8192,5782,140,-6104,-104,32,30
2786569892,-5944,5764,-1194,100,-98,58,0,0,-7,-1,-16487,0,5778,118,-6062,-106,31,32
2786619892,-5994,5732,-1228,98,-103,70,-18485,0,-15537,0,8160,8192,5770,216,-6026,-104,32,28
2786669892,-5946,5842,-1274,107,-122,58,-17483,0,-15537,0,8160,8192,5828,278,-6000,-108,30,31
