timestamp_us,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z
2517619892,-6686,4886,-644,97,-107,60,-16057,0,-15537,0,8160,8192,5812,184,-6024,-104,31,31
2517669892,-6698,4872,-654,96,-108,61,8160,8192,0,0,645,8192,5836,226,-6034,-106,28,30
2517719892,-6724,4886,-656,98,-107,58,-17052,0,-15537,0,8160,8192,5792,178,-6030,-107,33,31
2517769892,-6692,4874,-680,95,-108,60,8160,8192,0,0,645,8192,5818,182,-6074,-109,32,28
2517819892,-6698,4872,-646,98,-112,57,8160,8192,7844,-27118,645,8192,5796,224,-5986,-104,33,30
2517869892,-6700,4880,-636,97,-107,59,-16048,0,-15537,0,8160,8192,5814,188,-6040,-105,34,29
2517919892,-6716,4874,-586,99,-108,59,8160,8192,0,0,645,8192,5800,170,-6040,-107,33,30
2517969892,-6688,4900,-668,99,-110,58,-16043,0,-15537,0,8160,8192,5776,182,-6082,-107,33,31
2518019892,-6668,4878,-676,97,-108,60,-17040,0,-15537,0,8160,8192,5820,192,-6012,-105,33,30
2518069892,-6696,4864,-634,98,-110,58,-17038,0,-15537,0,8160,8192,5754,192,-6050,-104,35,32
2518119892,-6674,4876,-644,97,-106,60,-16037,0,-15537,0,8160,8192,5762,186,-6022,-105,30,29
2518169892,-6684,4884,-662,98,-109,57,-16035,0,-15537,0,8160,8192,5798,214,-5988,-106,30,29
2518219892,-6702,4890,-642,99,-109,59,-16033,0,-15537,0,8160,8192,5800,214,-6040,-107,30,31
2518269892,-6672,4876,-608,97,-107,59,-18031,0,-15537,0,8160,8192,5796,218,-6016,-106,34,30
2518319892,-6688,4864,-622,99,-110,58,0,0,-7,-1,-16029,0,5814,176,-6040,-106,32,30
2518369892,-6710,4884,-620,99,-109,59,0,0,-7,-1,-16027,0,5802,184,-6056,-103,33,32
2518419892,-6678,4874,-678,97,-108,58,8160,8192,0,0,645,8192,5814,174,-6048,-106,30,32
2518469892,-6706,4874,-644,97,-109,61,-18023,0,-15537,0,8160,8192,5786,192,-5948,-107,33,30
2518519892,-6688,4886,-620,98,-108,58,0,0,-7,-1,-16021,0,5780,242,-6078,-106,30,29
2518569892,-6700,4856,-638,100,-108,59,0,0,-7,-1,-16018,0,5800,174,-6036,-108,31,30
2518619892,-6730,4888,-614,99,-110,62,-16016,0,-15537,0,8160,8192,5818,182,-6034,-105,29,32
2518669892,-6690,4890,-582,101,-110,62,8160,8192,0,0,645,8192,5780,178,-6108,-107,34,29
2518719892,-6726,4872,-654,100,-107,59,-17011,0,-15537,0,8160,8192,5818,216,-6034,-106,34,30
2518769892,-6690,4898,-624,99,-109,57,-18009,0,-15537,0,8160,8192,5802,156,-6024,-107,31,30
2518819892,-6686,4882,-616,97,-107,61,-17007,0,-15537,0,8160,8192,5782,186,-6018,-104,31,30
2518869892,-6694,4882,-614,100,-108,62,-16004,0,-15537,0,8160,8192,5806,208,-6074,-108,32,31
2518919892,-6690,4882,-666,96,-106,59,8160,8192,-6268,-27102,645,8192,5788,176,-6022,-106,32,32
2518969892,-6720,4894,-602,97,-105,60,0,0,-7,-1,-16000,0,5796,188,-6050,-106,32,30
2519019892,-6728,4898,-638,99,-110,56,-15998,0,-15537,0,8160,8192,5808,166,-6086,-107,32,31
2519069892,-6694,4872,-712,97,-107,63,-15996,0,-15537,0,8160,8192,5758,222,-6024,-108,32,30
2519119892,-6700,4870,-618,96,-112,58,-15993,0,-15537,0,8160,8192,5790,144,-6024,-105,31,30
2519169892,-6690,4904,-682,98,-107,63,8160,8192,0,0,645,8192,5792,202,-6044,-106,32,31
2519219892,-6686,4904,-650,102,-110,62,-15988,0,-15537,0,8160,8192,5804,192,-6054,-108,31,30
2519269892,-6726,4882,-656,98,-110,56,-15986,0,-15537,0,8160,8192,5820,194,-6076,-107,30,31
2519319892,-6724,4864,-612,99,-107,62,-16983,0,-15537,0,8160,8192,5776,194,-6054,-105,30,30
2519369892,-6676,4904,-626,99,-110,55,0,0,-7,-1,-15981,0,5788,222,-6046,-105,32,30
2519419892,-6692,4884,-676,100,-107,60,8160,8192,-30556,-27094,645,8192,5768,188,-6042,-105,33,29
2519469892,-6684,4860,-712,97,-109,59,-17976,0,-15537,0,8160,8192,5806,156,-6030,-107,30,30
2519519892,-6702,4874,-690,98,-107,57,8160,8192,3908,-27092,645,8192,5818,166,-6040,-109,33,30
2519569892,-6688,4862,-642,98,-108,61,-15972,0,-15537,0,8160,8192,5774,220,-6036,-107,30,31
2519619892,-6654,4890,-634,97,-110,57,-15969,0,-15537,0,8160,8192,5800,170,-6068,-106,34,29
2519669892,-6726,4876,-618,98,-107,61,-15967,0,-15537,0,8160,8192,5792,184,-6012,-106,31,30
