timestamp_us,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z
2140769892,-5904,5734,-1114,99,-112,64,-16182,0,-15537,0,8160,8192,5734,198,-5996,-107,29,28
2140819892,-5848,5744,-1130,99,-114,61,-18180,0,-15537,0,8160,8192,5758,152,-5998,-108,30,29
2140869892,-5832,5768,-1148,98,-112,59,8160,8192,20916,32666,645,8192,5736,190,-6042,-108,30,29
2140919892,-5862,5768,-1130,98,-114,58,0,0,-7,-1,-17175,0,5756,234,-5990,-107,30,32
2140969892,-5828,5806,-1158,100,-115,54,0,0,-7,-1,-17173,0,5740,198,-6006,-108,28,32
2141019892,-5840,5780,-1122,101,-114,55,8160,8192,0,0,645,8192,5712,214,-6052,-106,31,31
2141069892,-5848,5756,-1118,99,-115,59,0,0,-7,-1,-16168,0,5752,162,-6010,-108,30,31
2141119892,-5878,5732,-1160,104,-117,58,0,0,-7,-1,-16166,0,5764,176,-5952,-109,30,29
2141169892,-5890,5750,-1100,102,-114,60,8160,8192,-6764,32670,645,8192,5768,190,-6094,-105,29,31
2141219892,-5864,5704,-1166,104,-115,59,0,0,-7,-1,-16162,0,5736,206,-5996,-106,33,30
2141269892,-5860,5764,-1198,104,-114,56,8160,8192,27700,32672,645,8192,5782,188,-5998,-105,36,31
2141319892,-5860,5714,-1172,102,-116,62,8160,8192,12164,32673,645,8192,5776,186,-6022,-107,32,30
2141369892,-5804,5676,-1206,101,-118,59,-16154,0,-15537,0,8160,8192,5744,138,-6016,-108,33,31
2141419892,-5776,5644,-1228,94,-116,56,8160,8192,-18908,32674,645,8192,5764,160,-5958,-107,30,31
2141469892,-5766,5608,-1110,96,-118,52,-16149,0,-15537,0,8160,8192,5784,118,-5964,-104,28,31
2141519892,-5738,5568,-1132,103,-119,52,8160,8192,15556,32676,645,8192,5792,166,-6004,-108,31,30
2141569892,-5764,5620,-1120,98,-115,58,-16144,0,-15537,0,8160,8192,5764,132,-5986,-104,37,30
2141619892,-5806,5686,-1194,96,-112,63,0,0,-7,-1,-16142,0,5750,102,-6014,-106,34,33
2141669892,-5876,5748,-1138,93,-109,61,-16140,0,-15537,0,8160,8192,5774,196,-5986,-105,35,31
2141719892,-5902,5794,-1138,96,-105,60,-16137,0,-15537,0,8160,8192,5766,136,-5992,-105,34,31
2141769892,-5946,5858,-1142,95,-103,61,-16137,0,-15537,0,8160,8192,5758,102,-6050,-106,36,31
2141819892,-5964,5966,-1118,93,-102,60,-16135,0,-15537,0,8160,8192,5758,174,-6066,-107,37,32
2141869892,-5986,5982,-1158,97,-102,64,-16132,0,-15537,0,8160,8192,5766,184,-6074,-107,33,31
2141919892,-6026,6046,-1092,94,-95,71,-16131,0,-15537,0,8160,8192,5804,218,-6116,-105,35,30
2141969892,-6040,5992,-1070,94,-104,55,-16128,0,-15537,0,8160,8192,5880,262,-6114,-105,30,31
2142019892,-5964,5944,-1064,101,-100,60,0,0,-7,-1,-17126,0,5830,214,-6110,-106,30,29
2142069892,-5968,5970,-1052,99,-99,64,0,0,-7,-1,-16125,0,5826,274,-6138,-108,31,33
2142119892,-6002,5956,-1102,94,-101,59,-16123,0,-15537,0,8160,8192,5844,278,-6116,-106,29,32
2142169892,-5996,5916,-1058,101,-104,57,-17121,0,-15537,0,8160,8192,5800,262,-6024,-103,28,30
2142219892,-5940,5858,-1164,99,-104,65,-16119,0,-15537,0,8160,8192,5800,216,-6048,-105,28,29
2142269892,-5904,5708,-1214,100,-121,54,8160,8192,0,0,645,8192,5802,174,-5990,-105,30,32
2142319892,-5814,5744,-1172,104,-121,56,8160,8192,29124,32688,645,8192,5826,190,-5998,-108,29,31
2142369892,-5776,5608,-1194,105,-121,59,-16113,0,-15537,0,8160,8192,5782,168,-5976,-106,31,30
2142419892,-5772,5598,-1132,102,-120,51,-16110,0,-15537,0,8160,8192,5826,122,-5942,-107,33,29
2142469892,-5830,5698,-1164,102,-113,62,0,0,-7,-1,-16108,0,5714,148,-6002,-106,33,31
2142519892,-5900,5810,-1142,90,-103,64,-16106,0,-15537,0,8160,8192,5692,136,-6002,-105,39,29
2142569892,-5956,5928,-1152,94,-105,62,-16103,0,-15537,0,8160,8192,5762,156,-6042,-107,36,31
2142619892,-6074,5986,-1102,96,-97,66,-16101,0,-15537,0,8160,8192,5816,266,-6118,-105,34,32
2142669892,-5976,5940,-1124,96,-100,59,0,0,-7,-1,-16098,0,5870,240,-6070,-106,29,30
2142719892,-5956,5952,-1110,97,-102,62,-18096,0,-15537,0,8160,8192,5842,246,-6074,-105,31,31
2142769892,-5960,5908,-1172,99,-105,64,0,0,-7,-1,-17095,0,5810,274,-5998,-108,30,28
2142819892,-5950,5848,-1220,102,-113,58,-16092,0,-15537,0,8160,8192,5814,246,-6016,-107,25,29
2142869892,-5830,5710,-1210,105,-121,50,8160,8192,-10700,32696,645,8192,5820,200,-6000,-107,27,30
2142919892,-5770,5634,-1180,106,-120,56,-16088,0,-15537,0,8160,8192,5772,158,-5950,-105,32,32
2142969892,-5838,5708,-1126,101,-113,60,-16086,0,-15537,0,8160,8192,5782,140,-5954,-106,31,31
2143019892,-5888,5770,-1120,98,-110,57,0,0,-7,-1,-16084,0,5712,154,-5960,-106,33,32
2143069892,-5936,5882,-1140,94,-105,63,8160,8192,0,0,645,8192,5718,182,-6048,-105,37,31
2143119892,-5942,5982,-1192,88,-103,63,-17080,0,-15537,0,8160,8192,5850,186,-6104,-108,33,31
2143169892,-5980,6024,-1200,94,-102,62,0,0,-7,-1,-16077,0,5866,276,-6122,-105,29,29
2143219892,-5978,5892,-1148,95,-101,65,-16074,0,-15537,0,8160,8192,5818,246,-6052,-106,30,32
2143269892,-5898,5812,-1128,100,-112,55,-17073,0,-15537,0,8160,8192,5812,222,-6034,-108,30,32
2143319892,-5852,5748,-1198,104,-119,52,-17070,0,-15537,0,8160,8192,5766,202,-6072,-105,30,31
2143369892,-5832,5682,-1088,101,-114,58,8160,8192,30548,32704,645,8192,5778,146,-5996,-103,30,30
2143419892,-5826,5750,-1142,99,-113,55,8160,8192,0,0,645,8192,5694,122,-5970,-108,34,29
2143469892,-5898,5886,-1126,97,-106,62,-18063,0,-15537,0,8160,8192,5722,146,-6068,-105,34,32
2143519892,-5952,5922,-1112,93,-103,73,-16060,0,-15537,0,8160,8192,5784,238,-6100,-106,34,30
2143569892,-5988,5872,-1128,91,-104,63,0,0,-7,-1,-16058,0,5826,260,-5984,-105,31,31
2143619892,-5938,5856,-1176,96,-107,56,-16055,0,-15537,0,8160,8192,5782,246,-6086,-105,30,31
2143669892,-5922,5818,-1142,101,-112,56,-18054,0,-15537,0,8160,8192,5808,198,-6034,-106,30,28
2143719892,-5862,5702,-1178,101,-119,54,-16052,0,-15537,0,8160,8192,5824,160,-6002,-105,33,32
2143769892,-5820,5722,-1142,105,-114,51,8160,8192,-28204,32710,645,8192,5770,144,-6038,-107,34,31
2143819892,-5912,5882,-1132,94,-104,59,-16046,0,-15537,0,8160,8192,5754,170,-5980,-107,36,31
2143869892,-5952,5914,-1144,91,-104,63,-16044,0,-15537,0,8160,8192,5828,210,-6010,-105,33,30
2143919892,-5966,5888,-1136,95,-101,63,-16043,0,-15537,0,8160,8192,5812,244,-6060,-108,30,30
2143969892,-5968,5880,-1150,97,-109,64,8160,8192,-24812,32713,645,8192,5772,228,-6070,-107,25,30
2144019892,-5870,5736,-1152,104,-114,56,-18039,0,-15537,0,8160,8192,5796,200,-6098,-105,28,29
2144069892,-5832,5716,-1056,104,-115,51,0,0,-7,-1,-16037,0,5720,132,-6032,-107,34,30
2144119892,-5816,5798,-1136,97,-110,59,8160,8192,0,0,645,8192,5750,168,-6022,-105,35,31
2144169892,-5922,5890,-1138,93,-107,63,0,0,-7,-1,-16033,0,5788,210,-6042,-108,34,29
2144219892,-5952,5934,-1162,93,-101,67,-16031,0,-15537,0,8160,8192,5784,258,-6030,-108,31,30
2144269892,-5934,5852,-1134,95,-108,59,-17030,0,-15537,0,8160,8192,5826,246,-6024,-105,33,29
2144319892,-5910,5790,-1170,101,-113,54,8160,8192,-2492,32718,645,8192,5840,164,-6032,-105,29,30
2144369892,-5838,5710,-1080,104,-114,49,-18026,0,-15537,0,8160,8192,5794,124,-6020,-104,32,29
